workerid,proliferate.condition,age,ethnicity,feedback,gender,race,error
894,Condition 3,34,Non-Hispanic,I get the impression they're both Capitalists who would ignore responsibility.,Female,White,
1037,Condition 3,24,Hispanic,"Whether they read the study, and the chance they predicted of wildlife being negatively affected",Female,Multiracial,
1017,Condition 3,56,Non-Hispanic,"It becomes a game of risk - either take the chance and make lots of money, or not go to market and lose out. ",Male,White,
851,Condition 3,42,Non-Hispanic,I looked at whether they invested time looking into the new report.,Female,White,
947,Condition 3,,Hispanic,,Female,White,
890,Condition 3,69,Non-Hispanic,The CEO of a company is by definition responsible for finding things out and taking responsibility for the actions of a company.,Male,White,
843,Condition 3,50,Non-Hispanic,Reviewing the facts ,Male,American Indian/Alaska Native,
910,Condition 3,39,Hispanic,"the amount of information that was presented to the CEOs and whether they reacted accordingly, e.g. research report mentions the study and negative findings, but CEO proceeds to produce the product anyway.",Male,White,
928,Condition 3,19,Non-Hispanic,excellent study,Male,White,
987,Condition 3,48,Non-Hispanic,I think that some decisions that were made were made by those that didn't realize the full impact of their actions while others knew and made the decisions regardless of the negative impact.,Female,White,
827,Condition 3,23,Non-Hispanic,If they knew about the problem and what percentage they thought it would harm others,Female,Asian,
920,Condition 3,34,Non-Hispanic,"The main factor was since the CEO was the main person to OK a product, they should have done due diligence on their research on whether things were harmful or not.",Male,White,
1011,Condition 3,50,Non-Hispanic,,other_gender,White,
867,Condition 3,21,Non-Hispanic,,Female,Black/African American,
902,Condition 3,29,Non-Hispanic,It's hard to tell what is willful ignorance sometimes,Male,White,
812,Condition 3,39,Non-Hispanic,The information that the ceo had known about.,Male,Black/African American,
906,Condition 3,53,Non-Hispanic,Knowing some companies only care about profit and not the environment.,Male,White,
979,Condition 3,62,Non-Hispanic,Whether the CEO actively research all sources of information.,Male,White,
847,Condition 3,47,Non-Hispanic,"I think corporations prioritize profit and it is unlikely that science will influence their choices. I think they mostly wait until they are forced either through regulations , laws, or social movements to be more pro environmental.",Female,Asian,
882,Condition 3,45,Non-Hispanic,Companies are for profit and most don't care much aside as making as much money as possible and everything else is pretty meaningless to them. ,Male,White,
802,Condition 3,41,Non-Hispanic,My response to those scenarios-based experiments was given.,Male,Asian,
815,Condition 3,27,Non-Hispanic,"If someone knew the harmful outcome of the new product and approved it anyway, they are 100% responsible for the harm caused.",Female,White,
863,Condition 3,27,Non-Hispanic,,Male,Black/African American,
959,Condition 3,32,Non-Hispanic,I was only influenced by the information contained in the study,other_gender,Multiracial,
937,Condition 3,44,Non-Hispanic,,Female,White,
886,Condition 3,31,Non-Hispanic,"Knowledge of similar cases in real life, wherein corporations knowingly harmed people/ the environment.",Male,White,
941,Condition 3,51,Non-Hispanic,If they felt the product would be harmful and if they were aware of the new study and decided to read it or not.,Female,White,
933,Condition 3,59,Non-Hispanic,,Female,White,
1003,Condition 3,42,Non-Hispanic,How much they actually believed harm would be caused.,Female,other_race,
835,Condition 3,38,Non-Hispanic,idea that most corporations know that there is pollution generated from their products but still base their decision on profitability,Female,Multiracial,
918,Condition 3,66,Non-Hispanic,,Female,other_race,
999,Condition 3,35,Non-Hispanic,The lack of interest to seek out what's in the new study even with the belief that it may be harmful would cause me to suspect that they'd approve the product regardless of how harmful it is. ,Male,White,
914,Condition 3,20,Hispanic,The percentage impact at the end of each scenario factored into my decision making process.,Male,White,
975,Condition 3,32,Non-Hispanic,I thought about how the CEOs believed that there was a 20% chance their products could be bad and still approved them. I came to the conclusion that they might approve the products even if they thought it was a 100% chance.,Male,White,
1007,Condition 3,31,Hispanic,"The fact that even if they hadn't seen or known of the existence of a study proving the substances are harmful, there was still a baseline 20% thought that it might have been harmful seems like way too much to go through with it.",Male,White,
967,Condition 3,39,Non-Hispanic,I read carefully and decided. It was an interesting study.,Non-binary,Black/African American,
859,Condition 3,38,Hispanic,"Capitalists have no regard for the future, only present profits. It's truly dismaying.",Female,Multiracial,
874,Condition 3,60,Non-Hispanic,"willingness to delve more deeply into the research, to know all the facts before making a decision",Female,White,
991,Condition 3,36,Hispanic,I just kinda put the CEO at fault every time.  I just assume companies will always put profits first.,Male,Black/African American,
822,Condition 3,65,Non-Hispanic,"My main consideration was Capitalism. Corporations are profit driven. If they have a product to introduce that can produce ""significantly"" increase profits, they are more than likely to introduce that product at the expense of harmful effects.  The CEO's receive high salaries. Additional, those salaries (plus bonuses) are often tied to the company's performance. So, the CEO's would make the decision to introduce a harmful product because they want the money.",Female,other_race,
818,Condition 3,29,Non-Hispanic,The factors that influenced me were the percentage and whether they found it to be responsbile ,Female,White,
870,Condition 3,35,Non-Hispanic,,Male,White,
924,Condition 3,49,Non-Hispanic,"I could not imagine any CEO in these scenarios doubting the liklihood of their product harming the environment in some way. If the scenario stated that the CEO only thought there was a 20% chance, I still assigned 100% on the next page. These companies produce chemicals and know they are harmful.",Female,White,
955,Condition 3,31,Non-Hispanic,"I believe CEOs will always make decisions based on maximizing profits. When they have complete power over whether a decision is made, the responsibility is solely theirs.",Female,White,
983,Condition 3,35,Non-Hispanic,,Male,White,
943,Condition 3,29,Non-Hispanic,,Male,White,
1031,Condition 3,29,Non-Hispanic,The text influenced me,Male,White,
1028,Condition 2,43,Non-Hispanic,,Female,Multiracial,
964,Condition 2,34,Non-Hispanic,I considered the willfulness of their ignorance. They generally didn't want to know.,Male,White,
813,Condition 2,37,Non-Hispanic,"Since the CEOs approved the products even knowing that they might contaminate the environment, they didn't seem concerned enough to change their minds if they had known more. However, it's not possible to say for sure what they would have done.",Female,White,
984,Condition 2,36,Non-Hispanic,,Male,White,
1043,Condition 2,46,Non-Hispanic,"I looked at how much the person knew about the potential pollution. If they knew about it, but still went forward, they are responsible.",Male,White,
805,Condition 2,27,Non-Hispanic,"The CEO's approved their product without being confirm of risk factors and afterwards it affects the environment badly. So, CEO's are very much responsible. ",Female,White,
841,Condition 2,22,Hispanic,The factors of what I read. ,Female,White,
825,Condition 2,23,Non-Hispanic,Seeing how each CEO reacted to the findings and their likelihood of the products potential to cause harm,Female,Asian,
845,Condition 2,72,Non-Hispanic,CEOs were guilty of both errors of commission when they knew the consequences and errors of omission when they failed to perform due diligence.,Male,White,
916,Condition 2,51,Non-Hispanic,"Profit over safety, cheaper to pay a lawsuit if needed. CEOs think this, not me personally.",Female,White,
948,Condition 2,32,Non-Hispanic,If the CEO did their due dilligence and how they evaluated the product.,Male,Multiracial,
956,Condition 2,22,Non-Hispanic,The percentages of harm ,Male,Black/African American,
988,Condition 2,30,Non-Hispanic,any,Male,White,
960,Condition 2,33,Non-Hispanic,,Male,White,
887,Condition 2,25,Non-Hispanic,"The more information a CEO had about the potential danger of the product, the more blame I placed on them when they decided to release the product and it caused harm. The CEOs who had less information still have some blame, because they failed to do further research about the safety of the chemicals/components of their products.",Male,White,
1008,Condition 2,45,Non-Hispanic,"Knowing that something damages the environment makes you 100 guilty, not investigating a possible damage makes you largely guilty, and not knowing about the damage does not make you responsible",other_gender,White,
980,Condition 2,25,Non-Hispanic,i looked at the factors and tried to put myself in the persons position,Male,White,
821,Condition 2,36,Non-Hispanic,No comments,Male,White,
942,Condition 2,64,Non-Hispanic,,Male,White,
1033,Condition 2,35,Non-Hispanic,They were more responsible if the report about the negative effects was mentioned. They were extra responsible if they were 100% sure of the bad effects.,Male,Black/African American,
1040,Condition 2,26,Non-Hispanic,I chose what I thought was best for the planet on their level of responsibility,Male,White,
972,Condition 2,35,Non-Hispanic,Everyone approved of the projects even if they were aware of the harm it would cause.,Female,White,
904,Condition 2,39,Hispanic,Corporations usually put profits above all else. ,Male,White,
875,Condition 2,39,Non-Hispanic,"The results of each study, and whether each CEO was fully aware of the study results.",Male,White,
837,Condition 2,59,Non-Hispanic,,Female,White,
858,Condition 2,21,Non-Hispanic,n/a,Female,Multiracial,
896,Condition 2,33,Non-Hispanic,,Male,Black/African American,
829,Condition 2,47,Non-Hispanic,"I felt like they all we quite responsible because they were all aware of potential issues, and even a 20% chance of these kinds of problems is significant.",Male,White,
996,Condition 2,22,,,Male,Black/African American,
900,Condition 2,35,Non-Hispanic,What they thought and what the effects were. ,Male,White,
