workerid,proliferate.condition,age,ethnicity,feedback,gender,race,error
87,Condition 2,43,Non-Hispanic,Direct knowledge makes you complicit / responsible. Avoiding seeking out knowledge also makes you complicit.,Male,Black/African American,
103,Condition 2,28,Non-Hispanic,"It is always someone's fault if they approve the product, even if they are unaware of the consequences. ",Female,White,
35,Condition 2,26,Non-Hispanic,Their knowledge level and doing due diligence,Female,Multiracial,
95,Condition 2,39,Non-Hispanic,All employees had a duty to research the effects of the product on the environment regardless of the report mentioning a study or what it included.,Female,White,
119,Condition 2,54,Non-Hispanic,What the CEO knew at the time they gave approval.,Male,White,
99,Condition 2,26,Non-Hispanic,,Male,Asian,
223,Condition 2,33,Hispanic,"all of them knew there was a chance these things were harmful, therefore it would have been the right and responsible thing for all of them to do further research before approving production. there is obviously a question being raised about the potential detriment these ingredients bring, and those questions were raised for a reason. choosing to remain ignorant to the information does not get you a pass.",Female,White,
111,Condition 2,25,Non-Hispanic,Whether the person knew their decision would cause harm or not,Male,White,
115,Condition 2,50,Non-Hispanic,,Female,White,
30,Condition 2,19,Non-Hispanic,"If they knew what their products caused, but also if they were ignorant in looking into the study.",Male,White,
131,Condition 2,29,Non-Hispanic,Keep up the good work.,Male,Asian,
174,Condition 2,29,Non-Hispanic,"What was in the report mainly, but also if the person decided to look into the study or not.",Female,White,
188,Condition 2,42,Non-Hispanic,"end of day responsibility
awareness
",Female,White,
169,Condition 2,50,Non-Hispanic,"the biggest difference was whether the report mentioned the new study or not. When the report failed to mention it, it took some blame away from the person",Male,White,
83,Condition 2,20,Non-Hispanic,Factors that influenced me was mainly whether they were aware that their products was harmful to the environment.,Male,Asian,
71,Condition 2,62,Hispanic,Knowing it was damaging or poisonous and not knowing.,Female,White,
147,Condition 2,28,Hispanic,"whether the CEOs had read about how their potential products would harm the environment, the information they had, how closely they looked into the effects of their products",Non-binary,White,
215,Condition 2,43,Non-Hispanic,,Male,White,
152,Condition 2,38,Non-Hispanic,no,Male,Black/African American,
107,Condition 2,36,Hispanic,If they knew from the study that their product was harmful and released it anyway then they are completely responsible. if they knew about a report and did not read it then they are still very responsible because they chose to not find out more.,Female,White,
139,Condition 2,30,Non-Hispanic,nothing,Male,Black/African American,
160,Condition 2,37,Non-Hispanic,"It was important to know if the CEO was aware of the potential harmful effects. There is a typo in the Colorshine scenario. The product is a varnish, but one of the statements in the paragraph says that the paint will still effectively ""vanquish"" the furniture. This should probably read ""varnish"" the furniture.",Female,Asian,
156,Condition 2,34,Non-Hispanic,"If they were ignorant of the fact that their products were polluting the environment.
Thank you for the opportunity and have a great week!",Male,White,
40,Condition 2,29,Hispanic,,Male,other_race,
79,Condition 2,30,Hispanic,"Just my overall moral compass and how I feel about things overall. I'm mostly an open, left-leaning individual. ",Male,White,
135,Condition 2,36,Non-Hispanic,"if you approve something that you know will harm others or the environment, you are in the wrong.",Female,White,
123,Condition 2,30,Non-Hispanic,Rather or not the CEO read or at least tried to do their own research.,Male,Black/African American,
219,Condition 2,25,Non-Hispanic,Mostly how informed the people were,Male,Asian,
54,Condition 2,40,Non-Hispanic,"If you are responsible for approviing chemicals in products that are being used especially among many many people, then you are obligated to understand all research about them. The fact some did not bother to read more studies makes them just as bad as those that do and ignore warnings. Whether they read them or not, they are at fault.",Male,White,
193,Condition 2,41,Non-Hispanic,"Intent, prior knowledge, and carelessness. If the CEO intended to profit by doing harm; if the CEO knew beforehand that harm would be done; if the CEO did not care enough to look further into the study mentioned in the report -- these all factored into my decisions. ",Male,White,
235,Condition 2,34,Non-Hispanic,,Female,White,
25,Condition 2,33,Non-Hispanic,Mainly if the study was available to them or not,Male,White,
50,Condition 2,36,Non-Hispanic,Reading the paragraphs ,Female,Asian,
91,Condition 2,19,Non-Hispanic,Those who had the resources available to study their product but failed to are still responsible for liability. The one CEO who's product did not have it's toxic effects in the report is not as liable but rather the people who made the report.,Male,Asian,
184,Condition 2,43,Non-Hispanic,"All CEOs were responsible for the results of their decisions, whether they were aware of the potential harmful effects or not. It is their responsibility to fully research these possible outcomes before approving a new product.",Male,White,
227,Condition 2,33,Non-Hispanic,If people knowingly ignored the studies,Male,Asian,
164,Condition 2,22,Non-Hispanic,No questions,Female,Black/African American,
75,Condition 2,30,Non-Hispanic,Whether the person approving the product knew and whether the findings of the studies were mentioned in the reports. ,Male,White,
179,Condition 2,36,Non-Hispanic,"Even if they knew or didn't know, the CEO who approved of the production is responsible at the end of the day.",Male,White,
206,Condition 2,21,Non-Hispanic,No,Female,White,
197,Condition 2,31,Non-Hispanic,whether they read the reports,Male,White,
231,Condition 2,39,Non-Hispanic,I read the scenario carefully to understand the situation. This study was very clear and understandable.,Male,White,
241,Condition 2,20,Non-Hispanic,"I mainly considered whether the CEO knew about the harm or not, and also the amount of effort they put into researching that information.",Male,Asian,
63,Condition 2,25,Non-Hispanic,whether they knew before.,Male,White,
201,Condition 2,24,Non-Hispanic,What they knew. If they looked into the study or not.,Male,White,
211,Condition 2,24,Non-Hispanic,,Male,Multiracial,
67,Condition 2,22,Non-Hispanic,just the bolded text,Male,Asian,
59,Condition 2,20,Non-Hispanic,,Female,White,
240,Condition 2,30,Non-Hispanic,I feel like they should go above and beyond on what is happening and could happen. They are the top of their company and should know that this is in their best interest since a controversy ousts them.,Male,White,
46,Condition 2,21,Non-Hispanic,I'm not sure what there is to say in particular,Male,White,
84,Condition 3,39,Non-Hispanic,"I simply read if they knew if it caused harm, and by how much. If it was untested then I put that they might have known a little, as anything untested could be harmful.",Male,White,
141,Condition 3,34,Non-Hispanic,NA,Male,White,
209,Condition 3,30,Non-Hispanic,"I decided to respond based on how I felt the right answer would be from an objective viewpoint.

""If this was the case, using the new exterior paint ""ColorShine"" would still effectively vanquish outdoor furniture, but also lead to contamination of groundwater.""

Should the word vanquish, perhaps, be varnish?",Male,Multiracial,
237,Condition 3,28,Hispanic,the fact of what i was reading is what i responded with,Male,White,
36,Condition 3,34,Non-Hispanic,I tried my best to comprehend all of the data and to see it from the facts alone without any bias,Male,White,
158,Condition 3,37,Hispanic,"Whether they read the new studies and thus knew. Still, ignorance doesn't absolve someone of responsibility",Male,White,
96,Condition 3,27,Non-Hispanic,They all should be doing more to take accountability for these hazardous ingredients.,Female,White,
41,Condition 3,19,Non-Hispanic,"I have more sympathy for people who may not have known, even if they were careless by not doing their research.",Female,White,
80,Condition 3,22,Non-Hispanic,N/A,Male,White,
108,Condition 3,21,Non-Hispanic,,Female,Multiracial,
239,Condition 3,58,Non-Hispanic,"If they fully knew I held them to blame, if they did not know but didn't look into it further I held them less to blame.",Female,White,
137,Condition 3,30,Non-Hispanic,I figured it was ultimately the reasonability to know for sure what effect their product will have on the environment. So I would rate them as responsible even if the report did not mention the harmful effects of their product. The severity of the guilt would slightly lessen if they did not know of the new study.,Male,White,
191,Condition 3,50,Non-Hispanic,I believe that all the people that made these decisions are responsible to check for safety before agreeing to launch any product with harmful qualities. ,Male,White,
204,Condition 3,53,Non-Hispanic,I think if you know that something will harm the environment and you decide to produce the product anyway then you are responsible for the harm.,Female,White,
51,Condition 3,57,Non-Hispanic,"If information is out there, and they missed it, they should have done their research more, and are guilty, but not as much as the person who turned a blind eye to the findings.",Female,White,
213,Condition 3,49,Non-Hispanic,"Whether they found data that stated the product had a deleterious effect.  In the other cases, they did not do their due diligence to find that information. Willful ignorance is not an excuse.",Male,White,
195,Condition 3,40,Non-Hispanic,"Whether the person knew the information about harm their product would cause, and whether they knew that information existed but chose not to read it.",Female,White,
176,Condition 3,34,Non-Hispanic,The factors I considered were if the person knew for sure that the product was harmful and whether or not they knew there was more information out there that could be reviewed.,Female,White,
167,Condition 3,47,Non-Hispanic,Morality and willingness to look for study was main influence ,Male,Asian,
121,Condition 3,24,Non-Hispanic,"If the person had known of the harm approving the product would create when approving it, I think they are responsible for that damage. They had the power to not approve it to help the environment and they didn't, because they wanted more money. If they didn't know of the implications of approving the product, then I don't think it's their fault when the damage happens. ",Female,White,
199,Condition 3,33,Non-Hispanic,Their knowledge and their willingness to do research.,Male,White,
172,Condition 3,32,Non-Hispanic,If the CEOs read further studies or not.,Male,Asian,
68,Condition 3,27,Hispanic,How much the person knew and if the information was avalible ,Male,White,
217,Condition 3,21,Hispanic,Ignorance is something that shouldn't be done when it comes to decisions like this.,Male,other_race,
183,Condition 3,33,Hispanic,"If the person was aware of the consequences of approving the given product. That was, by far, the most relevant factor. Also, I think that as the CEO of a company you must read every research about the product you are about to launch before doing so.",Male,other_race,
113,Condition 3,29,Non-Hispanic,It does not matter if the CEO knew if these products were toxic. They studies were out there and some either greenlit them anyway or choose ignorance. The responsibility is on them no matter what.,Male,White,
133,Condition 3,60,Non-Hispanic,none,Female,White,
