workerid,proliferate.condition,age,ethnicity,feedback,gender,race,error
529,Condition 2,45,Non-Hispanic,"They always approved it, despite what the problems associated with each product. So essentially every scenario was the same. ",Male,White,
486,Condition 2,44,Non-Hispanic,How much they knew about the possiblility of damage to the environment influenced my decisions.,Male,White,
371,Condition 2,20,Non-Hispanic,"Whether or not the person looked into the study, and their own personal feelings on it",Male,White,
375,Condition 2,28,Non-Hispanic,"If there is any risk of harm to people or the environment, then a CEO is 100% knowingly harming others.",Male,Asian,
387,Condition 2,37,Non-Hispanic,It really doesn't matter whether the reports included the new studies or not. The CEOs are still ultimately 100% responsible for the harm caused by their products.,Male,Asian,
336,Condition 2,24,Hispanic,,Female,Multiracial,
423,Condition 2,32,Non-Hispanic,,Female,White,
363,Condition 2,56,Non-Hispanic,The facts within each scenario and whether or not they were either 50% or 100% convinced influenced me.,Male,White,
520,Condition 2,40,Non-Hispanic,"At a base level, all four CEO's received at least some information that their products could be harmful. Even at 50% surety, it's too risky to release a product that has that much potential for harm.",Male,White,
328,Condition 2,42,Non-Hispanic,I factored in whether the people responsible of approving the products had all the necessary information to come to their decision.,Male,White,
394,Condition 2,21,Hispanic,,Male,Asian,
315,Condition 2,25,Non-Hispanic,"Honestly, they are always responsible. Proper research is always required before the release of a product. There is no excuses once harm is done, whether there is a research report or not.",Male,Asian,
449,Condition 2,36,Non-Hispanic,The likelihood that they knew the info or wanted to know it,Female,White,
516,Condition 2,22,Non-Hispanic,"If the CEO knew the harm the product would do, then I thought they were more responsible than if they didn't know",Female,Multiracial,
407,Condition 2,54,Non-Hispanic,How much info the ceo had and how proactvie they were,Male,White,
399,Condition 2,53,Non-Hispanic,"To me there is no difference between 50% and 100%. Both percentage amounts is unacceptable rate for pollution of our ground water, oceans and soil.",Female,White,
379,Condition 2,34,Non-Hispanic,"You have a few grammatical errors.  You use the word Vanquish instead of Varnish. Here's the first one I found:

"" It is possible that this dye poisons the groundwater if it is washed away in the rain. If this was the case, using the new exterior paint ""ColorShine"" would still effectively vanquish outdoor furniture, but also lead to contamination of groundwater.""",Male,White,
465,Condition 2,65,Non-Hispanic,"The ceo has a responsibilty to look into everything that they know of, but they don't have a responsibility to know everything.",Male,White,
427,Condition 2,26,Non-Hispanic,i just read what i was presented,Male,White,
524,Condition 2,36,Non-Hispanic,Whether the person had access to all of the information and made a informed decision on whether to approve the items.,Male,White,
324,Condition 2,21,Non-Hispanic,Even if the study results are not mentioned in the report I still think it is important that as a CEO you look into every possible outcome and do the least amount of damage to the environment as possible,Female,White,
476,Condition 2,22,Non-Hispanic,How much information and willingness to learn only affected the bottom bar,Male,Asian,
490,Condition 2,24,Non-Hispanic,,Female,White,
353,Condition 2,35,Non-Hispanic,"If they approved knowing it would cause harm, they are definitely responsible.  The only one that is a tiny bit off the hook is the one that the article didn't mention the new study.",Female,White,
383,Condition 2,67,Non-Hispanic,My responses were influence by the fact if the ceo had prior knowledge of the danger,Male,White,
340,Condition 2,24,Non-Hispanic,"the factors that influenced me most was the probability they knew about if the waste/aroma was polluted or not, and the contradiction of evidence from the new report and the old report. If they knew it was 100 percent polluted even if they didn't look into the new study that confirms so, I blame them all the way",Female,American Indian/Alaska Native,
415,Condition 2,65,Non-Hispanic,"In general the bottom line of US corporations is profits and responsibilities to shareholders, the environment be damned. ",Male,White,
436,Condition 2,18,Non-Hispanic,What they knew.,Female,White,
310,Condition 2,23,Non-Hispanic,Whether or not they knew the new product would cause harm. I am also an environmental scientist and I think we all have a responsibility to protect our natural resources as much as possible.,Female,White,
501,Condition 2,29,Non-Hispanic,,Female,White,
446,Condition 2,55,Non-Hispanic,I just answered the truth.,Female,White,
319,Condition 2,41,Non-Hispanic,"I based it on what I saw in the scenarios, but often I had trouble figuring out if a study or report had any bearing to the results.",Male,White,
505,Condition 2,32,Hispanic,whether the person knowingly approved the harmful product,Male,other_race,
472,Condition 2,64,Non-Hispanic,"In every case, there was at least 50% suspicion that the product could cause harm. In a couple of scenarios, the person deciding felt 100% sure that the product could cause harm. They all ignored the danger and put profits first. I would hold all of them responsible and they should all be prosecuted in some way. Every scenario was of a serious nature. They all had access to reports. The last one didn't know for sure about the potential harm, but they had a 50% suspicion, so they should have done more research. ",Female,White,
367,Condition 2,68,Non-Hispanic,"When the business leader felt the risk of adverse consequences was 100%, then they were totally responsible. When they failed to dig deeper into the study, that showed negligence. (BTW, your making the CEO a bad guy shows your bias.) ",Male,White,
494,Condition 2,34,Non-Hispanic,Whether the person read all of the information given to them,Male,White,
462,Condition 2,34,Non-Hispanic,i feel the 2nd scenario should be presented before the 1st one,Male,Asian,
302,Condition 2,28,Non-Hispanic,"if there's a non-zero chance that your product will cause harm, and you knowingly go to market, it is 100% on you if harm is caused",Female,White,
512,Condition 2,65,Non-Hispanic,"If they knew there could be harm, regardless if there was a 50% or 100% chance, I think that they were responsible. I don't think it matters as much about reading the study information, it's their final approval that caused harm. ",Female,White,
540,Condition 2,48,,I looked at the perecentages.,Male,White,
454,Condition 2,39,Non-Hispanic,How much information people had.,Male,White,
403,Condition 2,50,Non-Hispanic,No,Male,Asian,
